accession,sample_name,longitude_deg,latitude_deg,country,studies,env_biome,env_feature,env_material,experiment_type,collection_date
ERS1092929,Soil sample: AB D2,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock,metagenomic,
ERS1092930,DV sample: ABD2 51,-116.1339,33.2844,USA,MGYS00000644,desert,rock,rock,metagenomic,
ERS1107752,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil,metagenomic,
ERS1107753,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil,metagenomic,
ERS1107754,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil,metagenomic,
ERS1107755,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil,metagenomic,
ERS1107756,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil,metagenomic,
ERS1107757,BSC,,37.0,Spain,MGYS00000712,desert,soil,soil,metagenomic,
ERS1115236,biocrust,,,Austria,MGYS00000802,biological soil crust,soil,soil,metagenomic,
ERS1115237,biocrust,,,Austria,MGYS00000802,biological soil crust,soil,soil,metagenomic,
ERS1115238,biocrust,,,Germany,MGYS00000802,biological soil crust,soil,soil,metagenomic,
ERS1115239,biocrust,,,Germany,MGYS00000802,biological soil crust,soil,soil,metagenomic,
ERS1214242,GG_Run,,,,MGYS00001155,,,,metagenomic,
ERS1214243,GG_Run,,,,MGYS00001155,,,,metagenomic,
ERS1214244,GG_Run,,,,"MGYS00001155,MGYS00002069",,,,metagenomic,
ERS1234050,Labirinto_Cave_Metagenomes,-8.0309,37.1723,Portugal,MGYS00001173,sediment,cave sediment,granular sediment,metagenomic,
ERS1234051,Labirinto_Cave_Metagenomes,-8.0309,37.1723,Portugal,MGYS00001173,sediment,cave sediment,granular sediment,metagenomic,
ERS1234052,Labirinto_Cave_Metagenomes,-8.0309,37.1723,Portugal,MGYS00001173,sediment,cave sediment,granular sediment,metagenomic,
ERS1261217,"Cascade Head, old growth western hemlock, rep 1",-123.94,45.06,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil,unknown,
ERS1261218,"Cascade Head, old growth western hemlock, rep 2",-123.94,45.06,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil,unknown,
ERS1261219,"Cascade Head, old growth western hemlock, rep 3",-123.94,45.07,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil,unknown,
ERS1261220,"McDonald Forest, Douglas-fir, rep 1",-122.14,44.39,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil,unknown,
ERS1261221,"McDonald Forest, Douglas-fir, rep 2",-122.14,44.39,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil,unknown,
ERS1261222,"McDonald Forest, Douglas-fir, rep 3",-122.14,44.39,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil,unknown,
ERS1261223,"HJ Andrews, Douglas-fir, rep 1",-122.22,44.23,GAZ:United States of America,MGYS00003688,forest biome,forest soil,soil,unknown,
